Category,Tons,Scope,PerCapitaDivisor,ReducedTons,ReductionExplanation
PIFSCvehicles ,11.6,1,197,11.6,No reduction
PIROvehicles ,9.8,1,95,9.8,No reduction
PIFSCships ,2592.8,1,197,777.84,70% reduction by switching to biodiesel
PIFSCboats ,6,1,197,6,No reduction
PIFSCforklift ,0.6,1,197,0.18,70% reduction by switching to biodiesel
PIFSCairtravel ,221.1,3,197,221.1,No reduction
PIROairtravel ,145,3,95,145,No reduction
PIFSCcharters ,568.6,3,197,170.58,70% reduction by switching to biodiesel
PIFSCcommuting ,251.9,3,197,251.9,No reduction
PIROcommuting ,122.7,3,95,122.7,No reduction
IRCdieselgenerators,0.9,1,292,0.27,70% reduction by switching to biodiesel
PIFSCrefrigerants,82,1,197,82,No reduction
IRCelectricty,2544.2,2,292,127.21,95% reduction by switching to solar
,6557.2,,,1926.18,